,,,,,,,,,,,25%,50%,5%,5%,5%,5%,5%,,,,,,,
,,,,,,,,,,,Domain,Main Skill set,Soft skill,Min Years of Experience,Role,Qualification,Target Company,,"General Remark
1. Target company is not applicable when field is blank, so I have given 100%.
2. What should we do if all match but candidate doesn't know english?  We need to think about it. Something should be main filter like language, country of applicant.",,,,,
Sr. No.,JD title ( Folder Name),Domain,IT Skill set,Soft skill,Min Years of Experience,Role,Qualification,Target Company,Candidate Name,Resume Files,Domain Matching Score,Main Skill set Matching Score,Soft skill Matching Score,Min Years of Experience Matching Score,Role Matching Score,Qualification Matching Score,Target Company Matching Score,Matching Score,Remark,Language,Location_City,Location_Country,Average tenure per company,Contributor
1,SAP_Functional_Analyst CS_Integration1,"Manufacturing, Industrial Machine","SAP CS, SAP Inegration, SAP Interface, Enhacement, Custom Development","Team Player, Proactive, Good communication, Hardworking",5,"Functional Consultant, Functional Analyst",Bachelor of Engineering,,Candidate_1,-,75%,75%,75%,100%,100%,100%,100%,80%,"1. Main skill based on integration and interface experience is not coming out and mainly.
2. Soft skill is based on ""Stake holders' management, client escalation & engagement. Team management & handling ""
3. Role is 100% as he has done lead role as it covers indiviaul contributor and pass experience details.
4. Qualification is not given but it is assumed looking at present company and given 100%",English,Pune,India,,Ashish Desai
2,SAP_Functional_Analyst CS_Integration1,"Manufacturing, Industrial Machine","SAP CS, SAP Inegration, SAP Interface, Enhacement, Custom Development","Team Player, Proactive, Good communication, Hardworking",5,"Functional Consultant, Functional Analyst",Bachelor of Engineering,,Candidate_2,,0%,25%,25%,100%,100%,100%,100%,34%,1. Main skill SAP CS is missing.,English,Pune,India,,Ashish Desai
3,SAP_Functional_Analyst CS_Integration1,"Manufacturing, Industrial Machine","SAP CS, SAP Inegration, SAP Interface, Enhacement, Custom Development","Team Player, Proactive, Good communication, Hardworking",5,"Functional Consultant, Functional Analyst",Bachelor of Engineering,,Candidate_3,,100%,25%,100%,50%,0%,100%,100%,55%,"1. SAP experience is less than 5 ( 3 years only).
2. Missing SAP CS and lnterface experience. Very limited experience in developmenent.",English,Pune,India,,Ashish Desai
4,SAP_Functional_Analyst CS_Integration1,"Manufacturing, Industrial Machine","SAP CS, SAP Inegration, SAP Interface, Enhacement, Custom Development","Team Player, Proactive, Good communication, Hardworking",5,"Functional Consultant, Functional Analyst",Bachelor of Engineering,,Candidate_4,,0%,0%,0%,50%,0%,100%,100%,13%,1. This is not SAP functional consultant profie. He was worked on specific SAP integration technology that is not required for this project.,English,Pune,India,,Ashish Desai
5,SAP_Functional_Analyst CS_Integration1,"Manufacturing, Industrial Machine","SAP CS, SAP Inegration, SAP Interface, Enhacement, Custom Development","Team Player, Proactive, Good communication, Hardworking",5,"Functional Consultant, Functional Analyst",Bachelor of Engineering,,Candidate_5,,100%,25%,100%,100%,100%,100%,100%,63%,1. SAP CS and interface work is missing.,English,Pune,India,,
6,SAP_Functional_Analyst CS_Integration1,"Manufacturing, Industrial Machine","SAP CS, SAP Inegration, SAP Interface, Enhacement, Custom Development","Team Player, Proactive, Good communication, Hardworking",5,"Functional Consultant, Functional Analyst",Bachelor of Engineering,,Candidate_6,,100%,25%,100%,100%,100%,100%,100%,63%,1. SAP CS and interface work is missing.,English,Pune,India,,
7,SAP_Functional_Analyst CS_Integration1,"Manufacturing, Industrial Machine","SAP CS, SAP Inegration, SAP Interface, Enhacement, Custom Development","Team Player, Proactive, Good communication, Hardworking",5,"Functional Consultant, Functional Analyst",Bachelor of Engineering,,Candidate_7,,100%,15%,100%,100%,100%,100%,100%,58%,1. SAP CS and interface work is missing. Also Development work.,English,Pune,India,,
8,SAP_Functional_Analyst CS_Integration1,"Manufacturing, Industrial Machine","SAP CS, SAP Inegration, SAP Interface, Enhacement, Custom Development","Team Player, Proactive, Good communication, Hardworking",5,"Functional Consultant, Functional Analyst",Bachelor of Engineering,,Candidate_8,,50%,15%,0%,100%,100%,0%,100%,35%,"1. SAP CS and interface work is missing. Also Development work.
2. Not sure on development guess based on worked on Johnson and Johnson. No mention of soft skill and qualification",English,Pune,India,,
9,SAP_Functional_Analyst CS_Integration1,"Manufacturing, Industrial Machine","SAP CS, SAP Inegration, SAP Interface, Enhacement, Custom Development","Team Player, Proactive, Good communication, Hardworking",5,"Functional Consultant, Functional Analyst",Bachelor of Engineering,,Candidate_9,,100%,15%,0%,100%,100%,100%,100%,53%,1. SAP CS and interface work is missing. Also Development work.,English,Pune,India,,
10,SAP_Functional_Analyst CS_Integration1,"Manufacturing, Industrial Machine","SAP CS, SAP Inegration, SAP Interface, Enhacement, Custom Development","Team Player, Proactive, Good communication, Hardworking",5,"Functional Consultant, Functional Analyst",Bachelor of Engineering,,Candidate_10,,0%,15%,0%,100%,100%,100%,100%,28%,"1. SAP CS and interface work is missing. Also Development work.
2. Can't make out domain.
3. Not much mention of softskill",English,Pune,India,,
11,SAP_Functional_Analyst CS_Integration1,"Manufacturing, Industrial Machine","SAP CS, SAP Inegration, SAP Interface, Enhacement, Custom Development","Team Player, Proactive, Good communication, Hardworking",5,"Functional Consultant, Functional Analyst",Bachelor of Engineering,,Candidate_11,,50%,15%,0%,100%,100%,100%,100%,40%,"1. SAP CS and interface work is missing. 
2. Work on manufacturing project but not industrial.
3. No mention of sofksill",English,Pune,India,,
12,SAP_Functional_Analyst CS_Integration1,"Manufacturing, Industrial Machine","SAP CS, SAP Inegration, SAP Interface, Enhacement, Custom Development","Team Player, Proactive, Good communication, Hardworking",5,"Functional Consultant, Functional Analyst",Bachelor of Engineering,,Candidate_12,,0%,0%,0%,100%,100%,100%,100%,20%,"1. Not relevant SAP functional skill set and not looked at domain.
2. No mention of softskill",English,Pune,India,,
13,SAP_Functional_Analyst CS_Integration1,"Manufacturing, Industrial Machine","SAP CS, SAP Inegration, SAP Interface, Enhacement, Custom Development","Team Player, Proactive, Good communication, Hardworking",5,"Functional Consultant, Functional Analyst",Bachelor of Engineering,,Candidate_13,,50%,0%,0%,50%,100%,100%,100%,30%,"1. Not matching SAP skill set.
2. Worked on Manufacturing company project.
3.  Considered work only relevant for SAP development.",English,Pune,India,,
14,SAP_Functional_Analyst CS_Integration1,"Manufacturing, Industrial Machine","SAP CS, SAP Inegration, SAP Interface, Enhacement, Custom Development","Team Player, Proactive, Good communication, Hardworking",5,"Functional Consultant, Functional Analyst",Bachelor of Engineering,,Candidate_14,,50%,15%,100%,100%,100%,100%,100%,45%,1. SAP CS and interface work is missing. ,English,Pune,India,,
15,SAP_Functional_Analyst CS_Integration1,"Manufacturing, Industrial Machine","SAP CS, SAP Inegration, SAP Interface, Enhacement, Custom Development","Team Player, Proactive, Good communication, Hardworking",5,"Functional Consultant, Functional Analyst",Bachelor of Engineering,,Candidate_15,,50%,15%,0%,100%,100%,100%,100%,40%,"1. SAP CS and interface work is missing. Also Development work.
2. Worked in Manufacturing and Maintenance engineer experience for domain 100%
3. No mention of softskill.",English,Pune,India,,
16,SAP_Functional_Analyst CS_Integration1,"Manufacturing, Industrial Machine","SAP CS, SAP Inegration, SAP Interface, Enhacement, Custom Development","Team Player, Proactive, Good communication, Hardworking",5,"Functional Consultant, Functional Analyst",Bachelor of Engineering,,Candidate_16,,100%,15%,10%,100%,100%,100%,100%,53%,"1. SAP CS and interface work is missing. Also Development work.
2. Softskill score is 25% as only proactive is mentioned in some work. Not specified any softskill",English,Pune,India,,
17,SAP_Functional_Analyst CS_Integration1,"Manufacturing, Industrial Machine","SAP CS, SAP Inegration, SAP Interface, Enhacement, Custom Development","Team Player, Proactive, Good communication, Hardworking",5,"Functional Consultant, Functional Analyst",Bachelor of Engineering,,Candidate_17,,100%,50%,100%,100%,100%,100%,100%,75%,"1. SAP interface and development work is missing.
2. file is in reviewed to be interviewed folder.",English,Pune,India,,
18,SAP_Functional_Analyst CS_Integration1,"Manufacturing, Industrial Machine","SAP CS, SAP Inegration, SAP Interface, Enhacement, Custom Development","Team Player, Proactive, Good communication, Hardworking",5,"Functional Consultant, Functional Analyst",Bachelor of Engineering,,Candidate_18,,100%,75%,0%,80%,100%,100%,100%,82%,"1. Only SAP interface experience is missing. Worked on SAP CS and development.
2. No mention of soft skill so it is zero.
3. Only 4 years of experience so it's score is 80%.
4. The file is in rejected after interview folder.",English,Pune,India,,
19,SAP_Functional_Analyst CS_Integration1,"Manufacturing, Industrial Machine","SAP CS, SAP Inegration, SAP Interface, Enhacement, Custom Development","Team Player, Proactive, Good communication, Hardworking",5,"Functional Consultant, Functional Analyst",Bachelor of Engineering,,Candidate_19,,100%,75%,0%,100%,100%,100%,100%,83%,"1. SAP CS  skill is missing but worked on SAP PM, Development and interface.
2. No mention of softskill.",English,Pune,India,,
,,,,,,,,,,,,,,,,,,,,,,,,
1,SAP_ABAP_Developer_INTEGRATION_1,"Manufacturing, Industrial Machine","SAP ABAP, IDOC, RFC, BAPI, SAP inteface","Team Player, Proactive, Good communication, Hardworking",5,,,,,,,,,,,,,,,,,,,Ashish Desai
2,SAP_ABAP_Developer_INTEGRATION_1,"Manufacturing, Industrial Machine","SAP ABAP, IDOC, RFC, BAPI, SAP inteface","Team Player, Proactive, Good communication, Hardworking",5,,,,,,,,,,,,,,,,,,,Ashish Desai
3,SAP_ABAP_Developer_INTEGRATION_1,"Manufacturing, Industrial Machine","SAP ABAP, IDOC, RFC, BAPI, SAP inteface","Team Player, Proactive, Good communication, Hardworking",5,,,,,,,,,,,,,,,,,,,Ashish Desai
4,SAP_ABAP_Developer_INTEGRATION_1,"Manufacturing, Industrial Machine","SAP ABAP, IDOC, RFC, BAPI, SAP inteface","Team Player, Proactive, Good communication, Hardworking",5,,,,,,,,,,,,,,,,,,,Ashish Desai
5,SAP_ABAP_Developer_INTEGRATION_1,"Manufacturing, Industrial Machine","SAP ABAP, IDOC, RFC, BAPI, SAP inteface","Team Player, Proactive, Good communication, Hardworking",5,,,,,,,,,,,,,,,,,,,Ashish Desai
6,SAP_ABAP_Developer_INTEGRATION_1,"Manufacturing, Industrial Machine","SAP ABAP, IDOC, RFC, BAPI, SAP inteface","Team Player, Proactive, Good communication, Hardworking",5,,,,,,,,,,,,,,,,,,,Ashish Desai
7,SAP_ABAP_Developer_INTEGRATION_1,"Manufacturing, Industrial Machine","SAP ABAP, IDOC, RFC, BAPI, SAP inteface","Team Player, Proactive, Good communication, Hardworking",5,,,,,,,,,,,,,,,,,,,Ashish Desai
8,SAP_ABAP_Developer_INTEGRATION_1,"Manufacturing, Industrial Machine","SAP ABAP, IDOC, RFC, BAPI, SAP inteface","Team Player, Proactive, Good communication, Hardworking",5,,,,,,,,,,,,,,,,,,,Ashish Desai
9,SAP_ABAP_Developer_INTEGRATION_1,"Manufacturing, Industrial Machine","SAP ABAP, IDOC, RFC, BAPI, SAP inteface","Team Player, Proactive, Good communication, Hardworking",5,,,,,,,,,,,,,,,,,,,Ashish Desai
10,SAP_ABAP_Developer_INTEGRATION_1,"Manufacturing, Industrial Machine","SAP ABAP, IDOC, RFC, BAPI, SAP inteface","Team Player, Proactive, Good communication, Hardworking",5,,,,,,,,,,,,,,,,,,,Ashish Desai
11,SAP_ABAP_Developer_INTEGRATION_1,"Manufacturing, Industrial Machine","SAP ABAP, IDOC, RFC, BAPI, SAP inteface","Team Player, Proactive, Good communication, Hardworking",5,,,,,,,,,,,,,,,,,,,Ashish Desai
12,SAP_ABAP_Developer_INTEGRATION_1,"Manufacturing, Industrial Machine","SAP ABAP, IDOC, RFC, BAPI, SAP inteface","Team Player, Proactive, Good communication, Hardworking",5,,,,,,,,,,,,,,,,,,,Ashish Desai
13,SAP_ABAP_Developer_INTEGRATION_1,"Manufacturing, Industrial Machine","SAP ABAP, IDOC, RFC, BAPI, SAP inteface","Team Player, Proactive, Good communication, Hardworking",5,,,,,,,,,,,,,,,,,,,Ashish Desai
14,SAP_ABAP_Developer_INTEGRATION_1,"Manufacturing, Industrial Machine","SAP ABAP, IDOC, RFC, BAPI, SAP inteface","Team Player, Proactive, Good communication, Hardworking",5,,,,,,,,,,,,,,,,,,,Ashish Desai
15,SAP_ABAP_Developer_INTEGRATION_1,"Manufacturing, Industrial Machine","SAP ABAP, IDOC, RFC, BAPI, SAP inteface","Team Player, Proactive, Good communication, Hardworking",5,,,,,,,,,,,,,,,,,,,Ashish Desai
16,SAP_ABAP_Developer_INTEGRATION_1,"Manufacturing, Industrial Machine","SAP ABAP, IDOC, RFC, BAPI, SAP inteface","Team Player, Proactive, Good communication, Hardworking",5,,,,,,,,,,,,,,,,,,,Ashish Desai
17,SAP_ABAP_Developer_INTEGRATION_1,"Manufacturing, Industrial Machine","SAP ABAP, IDOC, RFC, BAPI, SAP inteface","Team Player, Proactive, Good communication, Hardworking",5,,,,,,,,,,,,,,,,,,,Ashish Desai
18,SAP_ABAP_Developer_INTEGRATION_1,"Manufacturing, Industrial Machine","SAP ABAP, IDOC, RFC, BAPI, SAP inteface","Team Player, Proactive, Good communication, Hardworking",5,,,,,,,,,,,,,,,,,,,Ashish Desai
19,SAP_ABAP_Developer_INTEGRATION_1,"Manufacturing, Industrial Machine","SAP ABAP, IDOC, RFC, BAPI, SAP inteface","Team Player, Proactive, Good communication, Hardworking",5,,,,,,,,,,,,,,,,,,,Ashish Desai
20,SAP_ABAP_Developer_INTEGRATION_1,"Manufacturing, Industrial Machine","SAP ABAP, IDOC, RFC, BAPI, SAP inteface","Team Player, Proactive, Good communication, Hardworking",5,,,,,,,,,,,,,,,,,,,Ashish Desai
21,SAP_ABAP_Developer_INTEGRATION_1,"Manufacturing, Industrial Machine","SAP ABAP, IDOC, RFC, BAPI, SAP inteface","Team Player, Proactive, Good communication, Hardworking",5,,,,,,,,,,,,,,,,,,,Ashish Desai
22,SAP_ABAP_Developer_INTEGRATION_1,"Manufacturing, Industrial Machine","SAP ABAP, IDOC, RFC, BAPI, SAP inteface","Team Player, Proactive, Good communication, Hardworking",5,,,,,,,,,,,,,,,,,,,Ashish Desai
23,SAP_ABAP_Developer_INTEGRATION_1,"Manufacturing, Industrial Machine","SAP ABAP, IDOC, RFC, BAPI, SAP inteface","Team Player, Proactive, Good communication, Hardworking",5,,,,,,,,,,,,,,,,,,,Ashish Desai
24,SAP_ABAP_Developer_INTEGRATION_1,"Manufacturing, Industrial Machine","SAP ABAP, IDOC, RFC, BAPI, SAP inteface","Team Player, Proactive, Good communication, Hardworking",5,,,,,,,,,,,,,,,,,,,Ashish Desai
25,SAP_ABAP_Developer_INTEGRATION_1,"Manufacturing, Industrial Machine","SAP ABAP, IDOC, RFC, BAPI, SAP inteface","Team Player, Proactive, Good communication, Hardworking",5,,,,,,,,,,,,,,,,,,,Ashish Desai
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
11,Senior Software Engineer in 5G or Wireless,Wireless Software Development,"Strong C, C++, 5G,4G,3G protocols, 3GPP architecture, Experience in Docker, Kubernetes","Team Player, Probelm solver, Good communication",9,,,,,,,,,,,,,,,,,,,Vivek Pise
